Comparison number,Winner ID,Loser ID,Is musician,
644,51,17,1,0,
645,118,11,0,0,
646,116,77,1,0,
647,104,23,0,0,
648,26,64,0,0,
649,106,28,0,0,
650,31,20,0,0,
651,3,115,0,0,
652,33,88,0,0,
653,14,97,1,0,
654,117,34,0,0,
655,35,109,1,0,
656,108,56,0,0,
657,47,38,0,0,
658,35,37,1,0,
659,39,38,0,0,
660,78,40,0,0,
661,23,42,0,0,
662,43,70,0,0,
663,6,122,0,0,
664,134,89,1,0,
665,7,41,1,0,
666,50,11,1,0,
667,51,84,1,0,
668,110,114,1,0,
669,52,121,1,0,
670,41,154,1,0,
671,103,7,1,0,
672,56,42,1,0,
673,153,62,1,0,
674,96,152,1,0,
675,60,94,1,0,
676,92,102,1,0,
677,61,114,1,0,
678,62,124,1,0,
679,127,63,1,0,
680,147,65,1,0,
681,108,105,1,0,
682,103,64,1,0,
683,62,68,1,0,
684,106,60,0,0,
685,70,123,1,0,
686,106,149,1,0,
687,177,83,1,0,
688,107,50,0,0,
689,174,34,1,0,
690,176,178,1,0,
691,168,6,0,0,
692,97,164,1,0,
693,166,78,1,0,
694,169,76,1,0,
695,151,92,1,0,
696,79,164,0,0,
697,117,83,1,0,
698,150,171,1,0,
699,125,82,1,0,
700,163,160,0,0,
701,159,130,1,0,
702,173,156,1,0,
703,162,88,1,0,
704,119,92,1,0,
705,90,42,1,0,
706,127,33,1,0,
707,120,169,1,0,
708,109,94,1,0,
709,23,95,1,0,
710,96,88,1,0,
711,112,97,1,0,
712,92,8,1,0,
713,167,100,1,0,
714,100,179,1,0,
715,170,113,1,0,
716,131,180,1,0,
717,161,22,1,0,
718,60,155,1,0,
719,148,6,1,0,
720,82,117,1,0,
721,41,7,1,0,
722,168,8,1,0,
723,166,143,1,0,
724,125,112,1,0,
725,172,11,1,0,
726,116,111,1,0,
727,148,52,1,0,
728,174,114,1,0,
729,174,109,1,0,
730,96,17,1,0,
731,30,156,1,0,
732,172,23,1,0,
733,147,157,1,0,
734,158,21,1,0,
735,90,22,1,0,
736,61,23,1,0,
737,33,20,1,0,
738,82,24,1,0,
739,116,174,1,0,
740,175,42,1,0,
741,134,169,0,0,
742,56,31,1,0,
743,115,39,0,0,
744,6,28,1,0,
745,108,8,1,0,
746,39,96,0,0,
747,127,157,0,0,
748,79,42,0,0,
749,158,90,0,0,
750,151,150,0,0,
751,165,107,1,0,
752,127,185,1,0,
753,187,37,1,0,
754,163,158,1,0,
755,196,51,1,0,
756,196,51,1,0,
757,37,52,0,0,
758,172,192,1,0,
759,56,173,1,0,
760,153,43,1,0,
761,175,102,1,0,
762,60,95,1,0,
763,181,190,1,0,
764,189,21,0,0,
765,170,186,0,0,
766,197,50,1,0,
767,65,167,0,0,
768,159,105,1,0,
769,182,68,1,0,
770,161,62,1,0,
771,188,186,1,0,
772,70,6,1,0,
773,177,51,1,0,
774,168,120,1,0,
775,79,76,1,0,
776,192,198,1,0,
777,33,78,1,0,
778,184,79,1,0,
779,125,151,1,0,
780,28,82,1,0,
781,105,106,1,0,
782,195,162,1,0,
783,193,159,1,0,
784,173,90,1,0,
785,159,51,1,0,
786,198,119,1,0,
787,88,105,1,0,
788,185,162,1,0,
789,175,90,1,0,
790,127,196,1,0,
791,27,106,1,0,
792,92,62,1,0,
793,184,79,0,0,
794,158,97,1,0,
795,97,100,1,0,
796,113,41,1,0,
797,176,116,1,0,
798,131,108,1,0,
799,161,187,1,0,
800,6,112,1,0,
801,170,196,1,0,
802,112,150,1,0,
803,102,182,1,0,
804,186,28,1,0,
805,111,114,1,0,
806,148,82,1,0,
807,188,166,1,0,
808,109,148,1,0,
809,199,162,0,0,
810,183,102,0,0,
811,185,181,0,0,
812,21,197,1,0,
813,23,35,0,0,
814,24,117,1,0,
815,116,88,0,0,
816,182,175,1,0,
817,28,6,1,0,
818,43,191,1,0,
819,60,27,0,0,
820,60,27,0,0,
821,31,115,0,0,
822,33,189,0,0,
823,194,7,0,0,
824,127,35,0,0,
825,103,108,0,0,
826,94,37,0,0,
827,39,21,0,0,
828,166,165,0,0,
829,193,158,1,0,
830,6,185,1,0,
831,170,51,1,0,
832,52,199,1,0,
833,120,110,1,0,
834,192,159,1,0,
835,103,61,1,0,
836,151,56,1,0,
837,153,43,1,0,
838,78,102,1,0,
839,168,95,1,0,
840,170,131,1,0,
841,65,56,1,0,
842,105,96,1,0,
843,106,23,1,0,
844,183,68,1,0,
845,31,188,1,0,
846,116,70,1,0,
847,108,107,1,0,
848,177,68,1,0,
849,176,191,1,0,
850,168,187,1,0,
851,76,131,1,0,
852,28,198,1,0,
853,111,78,1,0,
854,79,52,1,0,
855,151,197,1,0,
856,193,35,1,0,
857,159,6,1,0,
858,170,119,1,0,
859,111,88,1,0,
860,97,120,0,0,
861,134,95,0,0,
862,60,96,0,0,
863,150,97,0,0,
864,125,62,0,0,
865,175,117,1,1394823045,
866,131,186,0,1394823152,
867,161,176,0,1394823169,
868,186,182,0,1394823183,
869,6,52,0,1394823199,
870,61,186,1,1394823845,
871,148,108,0,1394824083,
872,113,199,1,1394824331,
873,192,162,1,1394824535,
874,7,21,1,1394824547,
875,181,28,1,1394824562,
876,183,96,1,1394824847,
877,24,159,1,1394824896,
878,116,184,1,1394824932,
879,27,172,1,1394824940,
880,175,147,1,1394824997,
881,134,31,1,1394825242,
882,88,31,1,1394825274,
883,115,90,1,1394825295,
884,33,41,1,1394825318,
885,194,147,1,1394825341,
886,114,23,1,1394825820,
887,39,21,1,1394825832,
